dopaminergic neurons	Ddc
dopaminergic neurons	En1
dopaminergic neurons	Foxa1
dopaminergic neurons	Foxa2
dopaminergic neurons	Lmx1a
dopaminergic neurons	Th
dopaminergic neurons	Slc18a2
dopaminergic neurons	Slc18a3
motor neurons	Isl1
motor neurons	Phox2b
floor plate	Uncx
general neuronal	Neurod2
general neuronal	Neurod6
general neuronal	Nkx2-2
general neuronal	Pdzk1ip1
general neuronal	Otx2
general neuronal	Pitx3
general neuronal	Pnoc
glutamatergic neurons	Pou4f1
glutamatergic neurons	Slc17a6
glutamatergic neurons	Nkx6-1
GABAergic neurons	Gad1
GABAergic neurons	Gad2
GABAergic neurons	Gata2
GABAergic neurons	Gata3
GABAergic neurons	Six3
GABAergic neurons	Npy
GABAergic neurons	Sst
GABAergic neurons	Tal1
GABAergic neurons	Slc32a1
GABAergic neurons	Sox14
GABAergic neurons	Sox21
GABAergic neurons	Dlx1
GABAergic neurons	Dlx2
GABAergic neurons	Dlx5
GABAergic neurons	Ascl1
GABAergic neurons	Helt
serotonergic neurons	Fev
serotonergic neurons	Htr1a
serotonergic neurons	Htr2a
serotonergic neurons	Slc6a4
Diencephalon	Arx
ventral forebrain	Nkx2-1
Diencephalon	Dbx1
Diencephalon	Dbx2
ventral forebrain	Nkx6-2
early LGE	Gsx2
POA	Lhx6
POA	Lhx9
ventral forebrain	Vip
GABA ventral forebrain/DI	Sst
GABA ventral forebrain/DI	Npy
